Stage 1

36, 9, 3

87, 250
187, 250
287, 250
387, 250
487, 250
587, 250
687, 250
787, 250
887, 250
987, 250
137, 325
237, 325
337, 325
437, 325
537, 325
637, 325
737, 325
837, 325
937, 325
87, 400
187, 400
287, 400
387, 400
487, 400
587, 400
687, 400
787, 400
887, 400
987, 400
137, 475
237, 475
337, 475
437, 475
537, 475
637, 475
737, 475
837, 475
937, 475
87, 550
187, 550
287, 550
387, 550
487, 550
587, 550
687, 550
787, 550
887, 550
987, 550

Stage 2

48, 12, 4

267, 250
327, 250
387, 250
447, 250
507, 250
567, 250
627, 250
687, 250
747, 250
817, 250
267, 350
327, 350
387, 350
447, 350
507, 350
567, 350
627, 350
687, 350
747, 350
807, 350
267, 450
327, 450
387, 450
447, 450
507, 450
567, 450
627, 450
687, 450
747, 450
807, 450
297, 300
357, 300
417, 300
477, 300
537, 300
597, 300
657, 300
717, 300
777, 300
297, 400
357, 400
417, 400
477, 400
537, 400
597, 400
657, 400
717, 400
777, 400
50, 200
110, 200
170, 200
80, 250
140, 250
50, 300
110, 300
170, 300
1025, 200
965, 200
905, 200
995, 250
935, 250
1025, 300
965, 300
905, 300

Stage 3

48, 12, 4

100, 175
100, 225
100, 275
100, 325
100, 375
100, 425
100, 475
100, 525
150, 200
150, 250
150, 300
150, 350
150, 400
150, 450
150, 500
150, 550
200, 175
200, 225
200, 275
200, 325
200, 375
200, 425
200, 475
200, 525
250, 200
250, 250
250, 300
250, 350
250, 400
250, 450
250, 500
250, 550
1025, 175
1025, 225
1025, 275
1025, 325
1025, 375
1025, 425
1025, 475
1025, 525
975, 200
975, 250
975, 300
975, 350
975, 400
975, 450
975, 500
975, 550
925, 175
925, 225
925, 275
925, 325
925, 375
925, 425
925, 475
925, 525
875, 200
875, 250
875, 300
875, 350
875, 400
875, 450
875, 500
875, 550
